"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.1675356241803,0.777,0.595,0,"0","Hu.CD27"
"2",0,1.79359452607198,0.726,0.572,0,"0","Hu.CD194"
"3",0,0.971803612786833,0.914,0.793,0,"0","Hu.CD99"
"4",0,1.20405459634626,0.987,0.881,0,"0","Hu.CD5"
"5",0,1.32170919095209,0.98,0.88,0,"0","Hu.CD4-RPA.T4"
"6",0,0.809275538851075,0.973,0.886,0,"0","Hu.CD3-UCHT1"
"7",0,0.85730998949711,0.994,0.915,0,"0","Hu.CD2"
"8",0,0.860007211684369,0.958,0.894,0,"0","Hu.CD52"
"9",0,0.786450206683236,0.969,0.931,0,"0","Hu.CD28"
"10",4.95601527751944e-215,0.956687827782836,0.71,0.681,6.44281986077527e-213,"0","Hu.CD196"
"11",0,2.6821312754152,0.779,0.439,0,"1","Hu.CD8"
"12",0,1.54743754777989,0.908,0.755,0,"1","Hu.KLRG1"
"13",0,1.6676861558172,0.829,0.736,0,"1","Hu.GPR56"
"14",0,0.91627505769783,0.97,0.887,0,"1","Hu.CD3-UCHT1"
"15",0,0.825902020602442,0.988,0.916,0,"1","Hu.CD2"
"16",0,0.82842985793379,0.867,0.802,0,"1","Hu.CD99"
"17",0,1.33672611045538,0.93,0.873,0,"1","Hu.CD57"
"18",0,0.714511324711008,0.893,0.837,0,"1","Hu.TCR.AB"
"19",0,0.669347501899681,0.957,0.933,0,"1","Hu.CD45-HI30"
"20",0,0.697664074226197,0.936,0.913,0,"1","Hu.CD49d"
"21",0,1.92030897591913,0.876,0.583,0,"2","Hu.CD27"
"22",0,1.5405473768195,0.916,0.673,0,"2","Hu.CD7"
"23",0,1.2740374232703,0.944,0.83,0,"2","Hu.TCR.AB"
"24",0,1.12529806136239,0.99,0.882,0,"2","Hu.CD5"
"25",0,1.20986919242696,0.97,0.87,0,"2","Hu.CD62L"
"26",0,1.16226681071501,0.984,0.886,0,"2","Hu.CD3-UCHT1"
"27",0,0.643525950602073,0.989,0.917,0,"2","Hu.CD2"
"28",0,0.779219542768357,0.958,0.895,0,"2","Hu.CD52"
"29",0,1.04585710055101,0.924,0.89,0,"2","Hu.CD4-RPA.T4"
"30",0,0.880554317731712,0.966,0.945,0,"2","Hu.CD45RA"
"31",0,2.90226780642037,0.935,0.371,0,"3","Hu.CD33"
"32",0,1.51301886166272,0.889,0.427,0,"3","Hu.CD328"
"33",0,2.30817287639114,0.977,0.521,0,"3","Hu.CD36"
"34",0,1.91340355613882,0.972,0.584,0,"3","Hu.CD11c"
"35",0,1.95871617649642,0.953,0.58,0,"3","Hu.CD64"
"36",0,1.83590282705878,0.956,0.604,0,"3","Hu.CD14-M5E2"
"37",0,2.38257252466783,0.996,0.654,0,"3","Hu.CLEC12A"
"38",0,1.79840127566441,0.871,0.575,0,"3","Hu.CD62P"
"39",0,2.25771089062854,0.946,0.737,0,"3","Hu.CD41"
"40",0,1.37617042521229,0.996,0.801,0,"3","Hu.CD31"
"41",0,1.76994976041592,0.723,0.452,0,"4","Hu.CD328"
"42",0,1.24943564349347,0.938,0.776,0,"4","Hu.CD56"
"43",0,1.46760610716139,0.896,0.735,0,"4","Hu.GPR56"
"44",0,1.33643071196874,0.981,0.871,0,"4","Hu.CD16"
"45",0,1.12988473140558,0.877,0.773,0,"4","Hu.CD94"
"46",0,1.39177038722748,0.962,0.874,0,"4","Hu.CD57"
"47",0,0.617329760111409,0.958,0.896,0,"4","Hu.CD244"
"48",0,0.852506398553041,0.917,0.875,0,"4","Hu.CD335"
"49",0,0.744016580016201,0.907,0.872,0,"4","Hu.CD122"
"50",1.77554711626743e-109,0.817829016513554,0.778,0.796,2.30821125114766e-107,"4","Hu.CD158"
"51",0,1.41098639257462,0.797,0.459,0,"5","Hu.CD328"
"52",0,1.32254860035381,0.903,0.695,0,"5","Hu.CD7"
"53",0,1.93553163390056,0.984,0.78,0,"5","Hu.CD56"
"54",0,1.88693037235652,0.97,0.773,0,"5","Hu.CD94"
"55",0,1.40439054135083,0.966,0.83,0,"5","Hu.CD54"
"56",0,1.90493401212283,0.99,0.873,0,"5","Hu.CD335"
"57",0,1.38810508693902,0.936,0.825,0,"5","Hu.CD69"
"58",0,1.0594018735432,0.968,0.871,0,"5","Hu.CD122"
"59",0,1.25974696136165,0.993,0.897,0,"5","Hu.CD244"
"60",0,1.13813378191494,0.99,0.924,0,"5","Hu.CD38-HIT2"
"61",0,1.08890515567661,0.977,0.823,0,"6","Hu.CD69"
"62",0,0.653959201941747,0.992,0.91,0,"6","Hu.CD195"
"63",0,0.646060732074249,0.992,0.94,0,"6","Hu.CD26"
"64",0,0.521465743596418,0.998,0.97,0,"6","Hu.CD154"
"65",2.06066187334401e-274,0.635984454316738,0.98,0.812,2.67886043534722e-272,"6","Hu.CD49a"
"66",6.12972143083698e-269,0.620534948198465,0.981,0.863,7.96863786008807e-267,"6","Hu.CD274"
"67",2.13101062533299e-264,0.504985057000416,0.99,0.918,2.77031381293288e-262,"6","Hu.CD161"
"68",2.47184298590372e-242,0.524039078382696,0.982,0.882,3.21339588167483e-240,"6","Hu.CD223"
"69",2.10802605725746e-166,0.652291340849316,0.855,0.573,2.7404338744347e-164,"6","Hu.TCR.Va7.2"
"70",9.57261997062626e-99,0.61788445205046,0.931,0.735,1.24444059618141e-96,"6","Hu.CD103"
"71",0,3.94832162632112,0.952,0.435,0,"7","Hu.CD21"
"72",0,3.38848121230341,0.969,0.552,0,"7","Hu.CD19"
"73",0,2.67119359691903,0.92,0.519,0,"7","Hu.CD22"
"74",0,2.19660099667344,0.951,0.604,0,"7","Hu.CD268"
"75",0,2.72677837699218,0.853,0.553,0,"7","Hu.IgD"
"76",0,2.20087357733066,0.99,0.691,0,"7","Hu.CD20-2H7"
"77",0,1.77315242163252,0.957,0.674,0,"7","Hu.CD196"
"78",0,1.79998775276243,0.915,0.639,0,"7","Hu.CD1c"
"79",0,1.83526282838373,0.984,0.758,0,"7","Hu.CD40"
"80",0,1.57598728426795,0.995,0.787,0,"7","Hu.CD32"
"81",0,2.05290921194831,0.814,0.576,0,"8","Hu.TCR.Va7.2"
"82",0,1.58695141481531,0.934,0.769,0,"8","Hu.KLRG1"
"83",0,1.14584376235291,0.967,0.912,0,"8","Hu.CD195"
"84",0,1.0746705066857,0.99,0.94,0,"8","Hu.CD26"
"85",0,1.04949406829406,0.968,0.919,0,"8","Hu.CD161"
"86",5.26802392671924e-269,0.559939249186136,0.956,0.928,6.84843110473501e-267,"8","Hu.CD127"
"87",1.50692106678842e-235,1.05602646378229,0.844,0.679,1.95899738682495e-233,"8","Hu.CD196"
"88",8.1516708963812e-224,1.18421951753299,0.735,0.475,1.05971721652956e-221,"8","Hu.CD8"
"89",1.84588781614814e-144,0.558036189322721,0.966,0.924,2.39965416099258e-142,"8","Hu.CD2"
"90",1.56457841292218e-18,0.534020643543535,0.828,0.83,2.03395193679884e-16,"8","Hu.CD69"
"91",6.59574078794335e-63,-0.312885144884944,0.971,0.968,8.57446302432635e-61,"9","Hu.CD29"
"92",1.54938287025154e-43,0.366868807058817,0.951,0.92,2.014197731327e-41,"9","Hu.IgM"
"93",1.25218531445587e-41,0.336042966178513,0.921,0.935,1.62784090879264e-39,"9","Hu.CD24"
"94",6.90044848959683e-35,0.72357020210513,0.876,0.88,8.97058303647588e-33,"9","Hu.CD16"
"95",1.39232373309244e-22,-0.299318699156482,0.917,0.916,1.81002085302017e-20,"9","Hu.CD49d"
"96",5.58918223756816e-21,0.290884589074265,0.779,0.789,7.26593690883861e-19,"9","Hu.LOX.1"
"97",1.01820267297457e-20,-0.27606558924184,0.925,0.948,1.32366347486694e-18,"9","Hu.CD45RA"
"98",2.62055303706879e-16,-0.27549816891793,0.911,0.903,3.40671894818943e-14,"9","Hu.CD52"
"99",1.34950634533831e-07,-0.300864552892667,0.741,0.769,1.75435824893981e-05,"9","Hu.CD40"
"100",0.00553484109415621,-0.281405973819134,0.707,0.719,0.719529342240307,"9","Hu.CD49b"
"101",0,3.08846997028409,0.987,0.552,0,"10","Hu.CD146"
"102",0,2.37024981629883,0.952,0.556,0,"10","Hu.CD36"
"103",0,1.48305424712096,0.947,0.712,0,"10","Hu.CD49b"
"104",0,1.48164574486064,0.99,0.757,0,"10","Hu.HLA.DR"
"105",0,1.45503413733987,0.99,0.793,0,"10","Hu.CD73"
"106",0,1.89656984335153,1,0.814,0,"10","Hu.CD49a"
"107",0,1.27735526488622,0.999,0.9,0,"10","Hu.CD141"
"108",0,1.18234519215377,1,0.931,0,"10","Hu.CD112"
"109",8.06586415751936e-276,1.34813979601491,0.965,0.635,1.04856234047752e-273,"10","Hu.CD39"
"110",1.69341576079153e-230,2.07970652840076,0.893,0.597,2.20144048902899e-228,"10","Hu.CD62P"
"111",0,1.31579997927712,0.876,0.416,0,"11","Hu.CD33"
"112",0,1.99792985775306,0.955,0.529,0,"11","Hu.CD86"
"113",0,1.89290568959598,0.951,0.556,0,"11","Hu.CD36"
"114",0,1.7591655656812,0.984,0.634,0,"11","Hu.CD39"
"115",0,2.016280682506,0.999,0.757,0,"11","Hu.HLA.DR"
"116",0,1.61517333863194,0.992,0.79,0,"11","Hu.CD32"
"117",0,1.42139297075359,0.971,0.834,0,"11","Hu.CD71"
"118",2.84744804816783e-304,1.23656124334221,0.913,0.554,3.70168246261818e-302,"11","Hu.CD146"
"119",1.0713101940727e-289,1.09833175276907,0.96,0.759,1.39270325229451e-287,"11","Hu.CD163"
