"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.71536650208319,0.886,0.363,0,"0","IL7R"
"2",0,1.83513275500272,0.958,0.456,0,"0","LTB"
"3",0,1.51520417247233,0.662,0.228,0,"0","INPP4B"
"4",0,2.10251139374793,0.589,0.165,0,"0","AQP3"
"5",0,2.08304712850013,0.529,0.126,0,"0","MAL"
"6",0,1.503614933165,0.893,0.51,0,"0","LDHB"
"7",0,1.43084043856953,0.655,0.284,0,"0","FLT3LG"
"8",0,1.53919761900226,0.502,0.18,0,"0","GPR183"
"9",0,1.83403594712793,0.442,0.124,0,"0","TRAT1"
"10",0,1.48442040152485,0.488,0.174,0,"0","RCAN3"
"11",0,1.63189560815369,0.507,0.21,0,"0","TRADD"
"12",0,1.53448275150069,0.437,0.159,0,"0","CD5"
"13",0,1.77237055750397,0.365,0.103,0,"0","CD28"
"14",0,1.98374536077185,0.34,0.084,0,"0","CD40LG"
"15",0,1.6486979535905,0.366,0.119,0,"0","SUSD3"
"16",0,1.75035943343566,0.315,0.094,0,"0","TNFRSF25"
"17",0,2.76801794317234,0.258,0.042,0,"0","TNFRSF4"
"18",0,2.07953155612989,0.253,0.052,0,"0","FAAH2"
"19",0,1.67944994322543,0.28,0.085,0,"0","ICOS"
"20",7.27430571652012e-266,1.44764056337299,0.26,0.112,2.66246863530353e-261,"0","CISH"
"21",0,2.21776459197393,0.976,0.317,0,"1","CCL5"
"22",0,3.255411702786,0.713,0.134,0,"1","GZMH"
"23",0,3.23967010042487,0.617,0.099,0,"1","CD8B"
"24",0,3.01705259299822,0.634,0.121,0,"1","CD8A"
"25",0,1.69182792609896,0.55,0.129,0,"1","FGFBP2"
"26",0,1.7551684150124,0.629,0.214,0,"1","KLRK1"
"27",0,1.92160110391606,0.6,0.22,0,"1","LYAR"
"28",0,1.65627677704001,0.655,0.279,0,"1","CD3G"
"29",0,1.75362819221747,0.561,0.187,0,"1","SAMD3"
"30",0,1.82712341034035,0.57,0.201,0,"1","C12orf75"
"31",0,1.82882297811934,0.519,0.176,0,"1","KLRG1"
"32",0,2.0537225831169,0.454,0.126,0,"1","LINC01871"
"33",0,2.03881477524506,0.407,0.098,0,"1","FCRL6"
"34",0,1.81995261226655,0.457,0.173,0,"1","TRG-AS1"
"35",0,2.49821525191397,0.323,0.066,0,"1","KLRC4"
"36",0,1.65545846485923,0.351,0.099,0,"1","ADGRG1"
"37",0,4.02867874480405,0.254,0.021,0,"1","ZNF683"
"38",0,2.49273563204198,0.283,0.056,0,"1","LAG3"
"39",0,1.58418858358634,0.299,0.11,0,"1","CXCR3"
"40",0,1.57833931517915,0.349,0.166,0,"1","GZMK"
"41",0,3.22427479553768,0.757,0.136,0,"2","CCR7"
"42",0,2.64225167263014,0.776,0.168,0,"2","LEF1"
"43",0,2.19365385900917,0.84,0.291,0,"2","TCF7"
"44",0,1.73234961415838,0.787,0.308,0,"2","SELL"
"45",0,2.45924015466113,0.573,0.127,0,"2","MAL"
"46",0,1.79510684960424,0.648,0.22,0,"2","CD27"
"47",0,2.0681361489766,0.634,0.214,0,"2","PRKCQ-AS1"
"48",0,1.71503658312667,0.819,0.419,0,"2","NOSIP"
"49",0,1.67394406492612,0.889,0.518,0,"2","LDHB"
"50",0,1.87893076705161,0.495,0.149,0,"2","FHIT"
