"","Tissue","Stage","cell_type_with_cluster","count","prop"
"1","LIVER","Fibrosis","Naïve-Activated T cells (C1)",2345,0.0700543705562526
"2","LIVER","Fibrosis","CD8 Effector Memory (C0)",7744,0.231343729461672
"3","LIVER","Fibrosis","CD8 Cytotoxic T cells (C4)",2004,0.0598673597418892
"4","LIVER","Fibrosis","CD4 T cells (C7)",2282,0.068172312839816
"5","LIVER","Fibrosis","CD4 Proliferating T cells (C21)",375,0.011202724502599
"6","LIVER","Fibrosis","Naïve B cells (C8)",867,0.025900699050009
"7","LIVER","Fibrosis","B cells (C27)",22,0.000657226504152477
"8","LIVER","Fibrosis","Plasma cells_1 (C19)",573,0.0171177630399713
"9","LIVER","Fibrosis","Plasma cells_2 (C29)",2,5.97478640138615e-05
"10","LIVER","Fibrosis","CD14 Monocytes (C3)",1370,0.0409272868494951
"11","LIVER","Fibrosis","CD16 Monocytes (C11)",802,0.0239588934695585
"12","LIVER","Fibrosis","Macrophage (C5)",985,0.0294258230268268
"13","LIVER","Fibrosis","Myeloid Dendritic cells (C10)",1628,0.0486347613072833
"14","LIVER","Fibrosis","Plasmacytoid dendritic cells (C22)",363,0.0108442373185159
"15","LIVER","Fibrosis","TREM2 Dendritic cells (C23)",5,0.000149369660034654
"16","LIVER","Fibrosis","Neutrophil (C14)",1449,0.0432873274780427
"17","LIVER","Fibrosis","CD56 dim NK cells (C2)",2329,0.0695763876441417
"18","LIVER","Fibrosis","CD56 high NK cells (C12)",2671,0.079793272390512
"19","LIVER","Fibrosis","Fibroblasts (C13)",19,0.000567604708131684
"20","LIVER","Fibrosis","Mesothelial cells (C24)",2,5.97478640138615e-05
"21","LIVER","Fibrosis","Adipocytes_2 (C26)",4,0.000119495728027723
"22","LIVER","Fibrosis","ACKR1 Endothelial cells (C9)",730,0.0218079703650595
"23","LIVER","Fibrosis","TAGLN Endothelial cells (C16)",592,0.017685367748103
"24","LIVER","Fibrosis","Blood vessels (C6)",675,0.0201649041046783
"25","LIVER","Fibrosis","Hepatocytes (C20)",1065,0.0318157375873813
"26","LIVER","Fibrosis","Liver Ductal cells (C18)",1067,0.0318754854513951
"27","LIVER","Fibrosis","Erythroid cells (C17)",729,0.0217780964330525
"28","LIVER","Fibrosis","Mast cells (C15)",738,0.0220469618211149
"29","LIVER","Fibrosis","Platelets (C28)",37,0.00110533548425644
"30","LIVER","Healthy","Naïve-Activated T cells (C1)",176,0.0216909046093172
"31","LIVER","Healthy","CD8 Effector Memory (C0)",673,0.0829430613754005
"32","LIVER","Healthy","CD8 Cytotoxic T cells (C4)",147,0.0181168350998275
"33","LIVER","Healthy","CD4 T cells (C7)",506,0.062361350751787
"34","LIVER","Healthy","CD4 Proliferating T cells (C21)",281,0.034631501109194
