"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.04503829351522,0.676,0.49,0,"0","Hu.CD8"
"2",0,1.34115423668258,0.994,0.889,0,"0","Hu.CD2"
"3",0,0.65532578191125,0.961,0.862,0,"0","Hu.CD18"
"4",0,0.89282337321392,0.99,0.909,0,"0","Hu.CD11a"
"5",0,0.640393862083712,0.981,0.922,0,"0","Hu.CD69"
"6",0,0.91090081388288,0.992,0.939,0,"0","Hu.CD3-UCHT1"
"7",0,1.02440531798009,0.992,0.941,0,"0","Hu.CD5"
"8",0,0.762767662346683,0.998,0.956,0,"0","Hu.CD48"
"9",0,0.645863653956639,0.986,0.951,0,"0","Hu.KLRG1"
"10",0,0.726734938481386,0.998,0.985,0,"0","Hu.CD195"
"11",0,1.16257235003621,0.778,0.573,0,"1","Hu.CD27"
"12",0,0.899520282306586,0.766,0.572,0,"1","Hu.CD7"
"13",0,0.97961276223026,0.865,0.721,0,"1","Hu.CD99"
"14",0,1.28984071995189,0.948,0.855,0,"1","Hu.CD62L"
"15",0,0.402617085223728,0.983,0.893,0,"1","Hu.CD2"
"16",0,0.415034507151978,0.963,0.898,0,"1","Hu.TCR.AB"
"17",0,0.588070702095556,0.993,0.94,0,"1","Hu.CD3-UCHT1"
"18",0,0.74737993635133,0.994,0.942,0,"1","Hu.CD5"
"19",0,0.611799181130357,0.987,0.949,0,"1","Hu.CD4-RPA.T4"
"20",9.59835550159164e-68,0.420216293051744,0.548,0.513,1.24778621520691e-65,"1","Hu.CD8"
"21",0,0.863214878927486,0.699,0.56,0,"2","Hu.CD328"
"22",0,0.695306458722283,0.689,0.589,0,"2","Hu.CD7"
"23",0,0.665988494895546,0.96,0.903,0,"2","Hu.CD45RA"
"24",0,0.413382231907405,0.915,0.876,0,"2","Hu.CD45-HI30"
"25",0,0.819662143316229,0.984,0.95,0,"2","Hu.CD16"
"26",0,0.48327555924907,0.971,0.943,0,"2","Hu.CD56"
"27",0,0.482983501863012,0.973,0.956,0,"2","Hu.CD94"
"28",0,0.678420938200003,0.974,0.963,0,"2","Hu.CD57"
"29",0,0.466345095935831,0.911,0.905,0,"2","Hu.GPR56"
"30",3.74890577870926e-113,0.436218045727576,0.813,0.836,4.87357751232204e-111,"2","Hu.CD158e1"
"31",0,1.60930427681684,0.885,0.536,0,"3","Hu.CD33"
"32",0,1.38680297788058,0.968,0.647,0,"3","Hu.CD11c"
"33",0,1.15444544515981,0.865,0.547,0,"3","Hu.CD328"
"34",0,1.17091733987638,0.951,0.645,0,"3","Hu.CD36"
"35",0,1.10336392778859,0.924,0.724,0,"3","Hu.CD99"
"36",0,0.899152907308685,0.978,0.82,0,"3","Hu.CD31"
"37",0,1.71664736433005,0.998,0.86,0,"3","Hu.CLEC12A"
"38",0,1.22888528803405,0.949,0.815,0,"3","Hu.CD62P"
"39",0,2.12724244808583,0.979,0.869,0,"3","Hu.CD41"
"40",0,1.49311697181285,0.998,0.936,0,"3","Hu.CD35"
"41",0,1.40566125085388,0.695,0.505,0,"4","Hu.CD8"
"42",0,1.11119776188345,0.812,0.734,0,"4","Hu.CD99"
"43",0,0.556428365973048,0.978,0.9,0,"4","Hu.CD2"
"44",0,0.63741191943565,0.937,0.874,0,"4","Hu.CD45-HI30"
"45",0,0.577100715962471,0.985,0.944,0,"4","Hu.CD3-UCHT1"
"46",0,0.376004633617056,0.973,0.947,0,"4","Hu.CD5"
"47",0,0.522697055638747,0.98,0.954,0,"4","Hu.KLRG1"
"48",0,0.86349186232281,0.988,0.963,0,"4","Hu.CD57"
"49",0,0.443119424276696,0.923,0.904,0,"4","Hu.GPR56"
"50",2.40438233785205e-270,0.403982941425928,0.925,0.906,3.12569703920767e-268,"4","Hu.CD45RA"
"51",0,1.49842780293533,0.809,0.548,0,"5","Hu.CD33"
"52",0,1.48043373763424,0.904,0.654,0,"5","Hu.CD36"
"53",0,1.09953269675918,0.775,0.559,0,"5","Hu.CD328"
"54",0,1.41646652656127,0.814,0.662,0,"5","Hu.CD11c"
"55",0,1.25867021950192,0.923,0.79,0,"5","Hu.CD86"
"56",0,0.999466502602357,0.963,0.881,0,"5","Hu.CD39"
"57",0,1.39700538965299,0.995,0.944,0,"5","Hu.CD32"
"58",0,0.908706577578628,0.989,0.955,0,"5","Hu.CD54"
"59",0,1.1367172350322,0.993,0.962,0,"5","Hu.HLA.DR"
"60",0,0.995870189579351,0.99,0.973,0,"5","Hu.CD71"
"61",0,2.14249665955478,0.918,0.654,0,"6","Hu.CD36"
"62",0,1.30693295114463,0.967,0.824,0,"6","Hu.CD31"
"63",0,1.61812782386538,0.994,0.909,0,"6","Hu.CD146"
"64",0,0.699073999636231,0.969,0.911,0,"6","Hu.CD49b"
"65",0,0.64398701553043,0.98,0.956,0,"6","Hu.CD54"
"66",0,1.43298199761872,1,0.98,0,"6","Hu.CD49a"
"67",0,0.607055681038449,0.998,0.986,0,"6","Hu.CD112"
"68",0,0.748497647555176,0.999,0.994,0,"6","Hu.CD29"
"69",0,1.00877928690455,1,0.995,0,"6","HuMs.CD49f"
"70",9.78465389274443e-301,0.466332423782536,0.967,0.94,1.27200500605678e-298,"6","Hu.HLA.ABC"
"71",9.32627520332656e-280,0.682514517285948,0.94,0.953,1.21241577643245e-277,"7","Hu.CD16"
"72",2.02104906514669e-255,0.380570328891387,0.946,0.903,2.62736378469069e-253,"7","Hu.CD2"
