"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,1.70819647881315,0.834,0.314,0,"0","CD2"
"2",0,2.36078339630288,0.657,0.144,0,"0","GZMK"
"3",0,1.77133721471109,0.874,0.376,0,"0","CD69"
"4",0,2.52551481253445,0.608,0.152,0,"0","TNF"
"5",0,1.68371389835061,0.653,0.215,0,"0","SOCS1"
"6",0,1.99804378366041,0.929,0.527,0,"0","CXCR4"
"7",0,1.73128951212155,0.537,0.163,0,"0","CD8A"
"8",0,1.75086833143057,0.469,0.109,0,"0","PBX4"
"9",0,2.02826482588536,0.467,0.112,0,"0","SIT1"
"10",0,1.65393858482736,0.46,0.12,0,"0","XCL1"
"11",0,2.24203638627797,0.386,0.083,0,"0","CXCR3"
"12",0,1.70291683253249,0.392,0.099,0,"0","AC044849.1"
"13",0,2.10831786499173,0.358,0.07,0,"0","LAG3"
"14",0,2.17193006079409,0.36,0.077,0,"0","IFNG"
"15",0,1.75649853573217,0.379,0.111,0,"0","PHLDA1"
"16",0,1.67660499397897,0.377,0.124,0,"0","RGS1"
"17",0,2.22145524443377,0.295,0.043,0,"0","CXCR6"
"18",0,2.05499483882303,0.297,0.06,0,"0","SLAMF1"
"19",0,1.6799162344735,0.326,0.092,0,"0","TNFSF9"
"20",0,2.34916079079993,0.292,0.062,0,"0","CD40LG"
"21",0,2.49733049990325,0.948,0.35,0,"1","LTB"
"22",0,2.76988997830014,0.801,0.207,0,"1","TCF7"
"23",0,2.9707485005214,0.663,0.102,0,"1","LEF1"
"24",0,4.04831035775466,0.591,0.056,0,"1","MAL"
"25",0,3.15751605873455,0.567,0.08,0,"1","CCR7"
"26",0,2.18810316908743,0.67,0.22,0,"1","FLT3LG"
"27",0,2.27254333781034,0.916,0.469,0,"1","LDHB"
"28",0,2.32559773575934,0.591,0.145,0,"1","CD27"
"29",0,2.63030792653241,0.588,0.144,0,"1","PRKCQ-AS1"
"30",0,2.23128877071375,0.786,0.353,0,"1","NOSIP"
"31",0,2.22829506684954,0.539,0.14,0,"1","RCAN3"
"32",0,2.51381254482367,0.438,0.075,0,"1","NELL2"
"33",0,2.21207862878919,0.454,0.106,0,"1","TESPA1"
"34",0,2.34876721464078,0.416,0.102,0,"1","STMN3"
"35",0,2.69404385926282,0.383,0.07,0,"1","TRABD2A"
"36",0,2.41288558876,0.398,0.091,0,"1","LDLRAP1"
"37",0,2.29512638596917,0.388,0.093,0,"1","TRAT1"
"38",0,2.9978401951971,0.264,0.043,0,"1","PASK"
"39",0,2.57212116891447,0.258,0.048,0,"1","LINC01550"
"40",0,2.35025691662524,0.265,0.066,0,"1","ARMH1"
"41",0,3.7300517913793,0.966,0.185,0,"2","GZMB"
"42",0,3.81221095133526,0.912,0.137,0,"2","FGFBP2"
"43",0,3.43558481885352,0.961,0.24,0,"2","GNLY"
"44",0,3.81842910013788,0.888,0.191,0,"2","SPON2"
"45",0,2.66583566314623,0.881,0.196,0,"2","FCGR3A"
"46",0,3.38260446384854,0.977,0.301,0,"2","PRF1"
"47",0,3.34868037523258,0.782,0.115,0,"2","KLRF1"
"48",0,3.48422230521644,0.778,0.141,0,"2","CLIC3"
"49",0,2.84455529203964,0.998,0.394,0,"2","NKG7"
"50",0,2.79498455292492,0.846,0.243,0,"2","HOPX"
"51",0,3.03681914072725,0.691,0.133,0,"2","ADGRG1"
"52",0,3.06155081019762,0.646,0.116,0,"2","S1PR5"
"53",0,3.09057265343474,0.635,0.133,0,"2","CX3CR1"
"54",0,3.24337317447029,0.579,0.105,0,"2","TTC38"
"55",0,3.78576671402994,0.517,0.057,0,"2","SH2D1B"
"56",0,3.32143213353296,0.3,0.05,0,"2","CHST2"
"57",0,2.64954356523888,0.317,0.068,0,"2","KLRC2"
"58",0,4.06517569329635,0.273,0.026,0,"2","KIR3DL1"
"59",0,4.18159362581753,0.283,0.044,0,"2","MYOM2"
"60",0,3.05213241611996,0.253,0.041,0,"2","NMUR1"
"61",0,4.53978860490552,0.962,0.084,0,"3","FCN1"
"62",0,5.6309561530831,0.95,0.076,0,"3","VCAN"
"63",0,3.69612194561058,0.959,0.111,0,"3","S100A8"
"64",0,4.160854293168,0.965,0.141,0,"3","S100A9"
"65",0,4.51504655562622,0.973,0.157,0,"3","LYZ"
"66",0,4.22148892589571,0.801,0.026,0,"3","S100A12"
"67",0,4.44710566730855,0.798,0.071,0,"3","CSTA"
"68",0,3.95863989589892,0.609,0.053,0,"3","LGALS2"
"69",0,4.22855715904592,0.526,0.034,0,"3","CD300E"
"70",0,3.65198483665365,0.528,0.046,0,"3","TMEM170B"
"71",0,3.92620503209082,0.497,0.033,0,"3","ASGR1"
"72",0,4.58047683952238,0.478,0.033,0,"3","AC020656.1"
"73",0,3.98545096427296,0.38,0.034,0,"3","OSCAR"
"74",0,4.03436797988515,0.348,0.028,0,"3","EREG"
"75",0,4.78075293819445,0.329,0.01,0,"3","LINC00937"
"76",0,3.8831700628171,0.349,0.031,0,"3","SLC24A4"
"77",0,3.66453653991828,0.269,0.019,0,"3","FCGR1A"
"78",0,4.92519922743117,0.255,0.007,0,"3","NRG1"
"79",0,3.81069004731272,0.258,0.01,0,"3","NLRP12"
"80",0,4.58298324891391,0.251,0.012,0,"3","RETN"
"81",0,2.85296783838583,0.852,0.21,0,"4","GZMH"
"82",0,1.80753206365399,0.986,0.399,0,"4","NKG7"
"83",0,2.05888888318015,0.834,0.253,0,"4","GNLY"
"84",0,2.04021324326457,0.979,0.409,0,"4","CCL5"
"85",0,2.12909260369994,0.718,0.156,0,"4","FGFBP2"
"86",0,1.6734348017492,0.862,0.362,0,"4","CD3D"
"87",0,2.49506862019577,0.643,0.188,0,"4","CD8A"
"88",0,1.84451040546625,0.725,0.281,0,"4","CD3G"
"89",0,1.96758596615515,0.641,0.22,0,"4","KLRG1"
"90",0,1.842356175321,0.653,0.235,0,"4","C12orf75"
"91",0,1.61780555737177,0.671,0.267,0,"4","KLRK1"
"92",0,2.38071895866234,0.508,0.134,0,"4","CD8B"
"93",0,1.96938786814844,0.618,0.25,0,"4","LYAR"
"94",0,2.02761889503502,0.496,0.143,0,"4","FCRL6"
"95",0,1.67298514345009,0.478,0.159,0,"4","TBX21"
"96",0,1.77876608593044,0.422,0.146,0,"4","LINC01871"
"97",0,1.7059892443743,0.419,0.169,0,"4","TRG-AS1"
"98",0,3.2959547047592,0.292,0.044,0,"4","ZNF683"
"99",0,2.42333691086286,0.282,0.072,0,"4","KLRC4"
"100",0,1.59936312188523,0.281,0.116,0,"4","PATL2"
"101",0,6.76662111600149,0.876,0.03,0,"5","C1QC"
"102",0,6.79220616329696,0.871,0.035,0,"5","C1QB"
"103",0,6.38026196288865,0.873,0.046,0,"5","C1QA"
"104",0,5.27942036891071,0.801,0.055,0,"5","CD163"
"105",0,5.14743258884664,0.802,0.075,0,"5","LGMN"
"106",0,5.25912326263052,0.74,0.034,0,"5","MSR1"
"107",0,5.35645508422181,0.734,0.041,0,"5","MS4A4A"
"108",0,6.51626460444424,0.699,0.021,0,"5","FOLR2"
"109",0,5.18612484314667,0.672,0.028,0,"5","MRC1"
"110",0,5.44139131000912,0.666,0.024,0,"5","VSIG4"
"111",0,5.11927219047607,0.718,0.096,0,"5","RNASE1"
"112",0,6.30610221116516,0.572,0.013,0,"5","TREM2"
"113",0,7.10647179550915,0.497,0.006,0,"5","LILRB5"
"114",0,6.69563113331988,0.481,0.026,0,"5","MARCO"
"115",0,6.07570561899536,0.456,0.012,0,"5","LYVE1"
"116",0,5.49902161585354,0.444,0.014,0,"5","SIGLEC1"
"117",0,5.88106320616284,0.415,0.013,0,"5","CD163L1"
"118",0,5.18339087263081,0.381,0.011,0,"5","GPR34"
"119",0,5.58705741219443,0.331,0.009,0,"5","AL035446.2"
"120",0,6.48733875206353,0.256,0.006,0,"5","TIMD4"
"121",0,5.91097892017771,0.699,0.029,0,"6","BTNL9"
"122",0,5.33807587314532,0.73,0.1,0,"6","RBP7"
"123",0,5.29935687544822,0.617,0.025,0,"6","ADGRF5"
"124",0,5.36350006880382,0.59,0.041,0,"6","KIAA1217"
"125",0,5.53723594534008,0.56,0.031,0,"6","ABLIM3"
"126",0,6.01691745271207,0.505,0.016,0,"6","CA4"
"127",0,6.51859898594269,0.483,0.011,0,"6","CD300LG"
"128",0,5.61997628030596,0.45,0.019,0,"6","CDH13"
"129",0,5.46254744777409,0.446,0.016,0,"6","AIF1L"
"130",0,6.33403252045372,0.431,0.01,0,"6","GPIHBP1"
"131",0,5.71727190236209,0.399,0.016,0,"6","TIMP4"
"132",0,5.4459681666184,0.388,0.016,0,"6","CCDC85A"
"133",0,6.11887664545026,0.38,0.008,0,"6","SEMA3G"
"134",0,5.81050465099698,0.381,0.01,0,"6","SOX17"
"135",0,6.56202564572312,0.373,0.01,0,"6","CADM2"
"136",0,5.97805235201615,0.344,0.008,0,"6","TCF15"
"137",0,5.18709052849681,0.337,0.01,0,"6","AQP7"
"138",0,5.56657290799069,0.309,0.011,0,"6","HEY1"
"139",0,5.14869622032142,0.298,0.014,0,"6","LNX1"
"140",0,5.30016458913087,0.266,0.008,0,"6","SPAAR"
"141",0,2.36602234688631,0.712,0.455,0,"7","SKAP1"
"142",0,2.62677981281542,0.569,0.329,0,"7","KLF12"
"143",0,2.35713265448755,0.56,0.332,0,"7","BCL11B"
"144",0,2.62626595720268,0.601,0.383,0,"7","CNOT6L"
"145",0,2.33861815223794,0.49,0.295,0,"7","PPP1R16B"
"146",0,2.67764295583213,0.317,0.149,0,"7","AC016831.7"
"147",0,2.56009292850182,0.425,0.267,0,"7","INPP4B"
"148",0,2.55204049400387,0.364,0.208,0,"7","TOX"
"149",0,2.35770910905296,0.362,0.208,0,"7","MSI2"
"150",0,2.49218627948152,0.323,0.171,0,"7","ZNF831"
"151",0,3.03324182700806,0.322,0.171,0,"7","ANK3"
"152",0,2.37734773750356,0.319,0.173,0,"7","SLFN12L"
"153",0,2.41150766730457,0.393,0.253,0,"7","THEMIS"
